,municipio,area_km2
120,Maravilhas,0.03927659206941562
121,Matias Cardoso,3.427451392516824
122,Mato Verde,0.053661599788906895
123,Mirabela,0.07796962823156697
124,Miravânia,0.1227485654065329
125,Monjolos,0.03022996293812215
126,Monsenhor Paulo,0.043087988859028585
127,Montalvânia,0.14421009292428905
128,Monte Alegre de Minas,0.46115081513265704
129,Monte Azul,0.4637013477628309
130,Monte Carmelo,1.0071004873363334
131,Montes Claros,1.7350549385479173
132,Montezuma,0.22067474179093774
133,Morro da Garça,0.056291945204344294
134,Muzambinho,0.1505352610147736
135,Natalândia,0.631148033307964
136,Nepomuceno,0.03446298952655114
137,Ninheira,0.6911193346546689
138,Nova Lima,0.2732950923427939
139,Nova Ponte,7.2920832131700735
140,Nova Porteirinha,0.02300409548240499
141,Novo Cruzeiro,0.03243056704125763
142,Novorizonte,0.019461852652710294
143,Onça de Pitangui,0.02700745333823431
144,Padre Paraíso,0.022120296484167388
145,Pai Pedro,4.437828079853485
146,Paracatu,13.279556581622483
147,Paraopeba,0.06214180817461533
148,Patis,0.059138486738614625
149,Patos de Minas,1.9390719218229726
150,Patrocínio,1.3350823360758075
151,Pedra Azul,0.21451745853477291
152,Pedra do Indaiá,0.04194442163888871
153,Pedras de Maria da Cruz,0.40970634823502144
154,Pedrinópolis,1.3012630731838453
155,Perdizes,1.8913861962070728
156,Perdões,0.016448059075788186
157,Pimenta,0.2666330031648998
158,Pintópolis,0.2755872192246351
159,Piranguinho,0.04117485283169219
160,Pirapora,0.2678592368197953
161,Piumhi,0.6299532659378593
162,Pompéu,0.7975396295839464
163,Ponto Chique,0.40925833478471624
164,Ponto dos Volantes,0.06026387359933748
165,Porteirinha,1.55214734939134
166,Poços de Caldas,0.235292068992771
167,Prata,0.5781203091806366
168,Pratápolis,0.04723090493871049
169,Presidente Juscelino,0.035558338557540925
170,Presidente Olegário,0.573952067362119
171,Riachinho,0.47491840303626387
172,Riacho dos Machados,0.9901820851006731
173,Rio Paranaíba,0.8630617020371882
174,Rio Pardo de Minas,0.5408747604050199
175,Romaria,0.9536835750544154
176,Rubelita,0.17110496900531072
177,Sacramento,5.831112491548069
178,Salinas,0.11143031714200782
179,Santa Cruz de Salinas,0.048198411050354543
180,Santa Fé de Minas,1.10275861732576
181,Santa Juliana,7.498311198145616
182,Santa Rita de Caldas,0.09492103127712267
183,Santa Rita do Sapucaí,0.022344603640262344
184,Santa Vitória,10.766537406018774
185,Santana da Vargem,0.030703810758066292
186,Santana de Pirapama,0.09145856654822317
187,Santana do Garambéu,0.3432117989772219
188,Santo Antônio do Amparo,0.04338102204493801
189,Santo Antônio do Monte,0.058188668751343445
190,Sapucaí-Mirim,0.06060416201094029
191,Senador Modestino Gonçalves,0.034457803519855085
192,Serra do Salitre,0.16431998295787922
193,Serrania,0.044204491041390424
194,São Bento Abade,0.30303464196430646
195,São Francisco,0.5989485806954195
196,São Francisco de Sales,1.5780542060095857
197,São Gonçalo do Abaeté,0.10069487452348411
198,São João da Lagoa,0.21589322071230793
199,São João da Ponte,3.7591894610009913
200,São João das Missões,1.6764698853301863
201,São João del Rei,0.05981480773694786
202,São João do Pacuí,0.05048337780506648
203,São João do Paraíso,1.373836428671901
204,São Pedro da União,0.018295175829243577
205,São Romão,2.44358698191567
206,São Roque de Minas,0.6860734102713499
207,São Sebastião do Oeste,0.06269989904246184
208,São Tomás de Aquino,0.0318575846505324
209,Taiobeiras,0.06085453519351975
210,Três Corações,0.10228570176750672
211,Três Marias,0.27999256001479766
212,Três Pontas,0.08443168697160448
213,Tupaciguara,0.13194032920048876
214,Ubaí,0.10583890035576285
215,Uberaba,7.866475771244096
216,Uberlândia,6.487288574136575
217,Unaí,3.196986740568186
218,União de Minas,1.1984018785554693
219,Uruana de Minas,0.46817304134051646
220,Urucuia,0.529640407231521
221,Vargem Bonita,0.09181808204886335
222,Vargem Grande do Rio Pardo,0.02885497529168378
223,Varjão de Minas,0.22846971271924005
224,Varzelândia,0.2799128899209343
225,Vazante,0.8180962501497054
226,Verdelândia,1.9602350398163166
227,Várzea da Palma,0.722124752405134
