,municipio,area_desmatada_km2
63,Jaguaraçu,0.028565953995328464
64,Jequitinhonha,1.4636465874100986
65,Joanésia,0.0861049655620144
66,Joaíma,0.47999436791997874
67,Jordânia,0.05063843354900552
68,José Raydan,0.10326341377582801
69,Ladainha,0.04244620077926892
70,Leopoldina,0.046472977989822736
71,Malacacheta,0.22760203200078896
72,Manhuaçu,0.5929654967862408
73,Mantena,0.06576442403114778
74,Maria da Fé,0.02843227601907897
75,Marilac,0.06044768042469175
76,Marliéria,0.04056455541631254
77,Materlândia,0.18786984792901676
78,Matipó,0.06165367655286567
79,Medina,0.7591198835492158
80,Mesquita,0.7514898997659515
81,Monte Formoso,0.2455397803936164
82,Muriaé,0.039698591614958735
83,Naque,0.21448674753020214
84,Ninheira,1.4721940241113503
85,Novo Cruzeiro,0.05781775544029506
86,Olímpio Noronha,0.0863652394775259
87,Padre Paraíso,0.027124841473312816
88,Palma,0.055627392499099204
89,Paraguaçu,0.14410834307018716
90,Passos,0.423142894996418
91,Paula Cândido,0.028311981096207157
92,Paulistas,0.021604662524884268
93,Pedra Azul,0.721566513473716
94,Pedra do Anta,0.15988107001156834
95,Periquito,1.182519027575238
96,Peçanha,0.09870115271296673
97,Piedade de Ponte Nova,0.25768949575592703
98,Pingo-d'Água,0.02733442852455154
99,Ponte Nova,0.32933053951372004
100,Ponto dos Volantes,0.6448861299936565
101,Poté,0.1439066226409736
102,Raul Soares,0.5266506960805357
103,Resplendor,0.5434404297910589
104,Rio Casca,0.040740570685744645
105,Rio Doce,0.12606014625891976
106,Rio Vermelho,0.09134886225985459
107,Rio do Prado,0.10399182828105669
108,Rubelita,0.19808305997552186
109,Sabinópolis,0.21753224863208198
110,Sacramento,1.546066817399986
111,Salinas,0.4719319325881982
112,Santa Cruz de Salinas,0.055434089750233784
113,Santa Cruz do Escalvado,0.056892409998316434
114,Santa Maria de Itabira,0.024026416593282623
115,Santa Maria do Suaçuí,0.1287746551561641
116,Santa Rita do Sapucaí,0.10708397861468316
117,Santana da Vargem,0.04228919089703334
118,Santana do Paraíso,0.05944023763374599
119,Sapucaí-Mirim,0.0814455580166038
120,Setubinha,0.059176391865569666
121,São Domingos do Prata,0.13255528510000641
122,São Gonçalo do Sapucaí,0.5531463766281897
123,São José da Safira,0.05762075829115427
124,São José do Alegre,0.03691432343482635
125,São José do Goiabal,0.2776541680826475
126,São José do Jacuri,0.09446515037783616
127,São João Evangelista,0.08396197565097831
128,São João da Mata,0.05239404695640173
129,São João do Manhuaçu,0.2012649984504013
130,São João do Paraíso,1.7592892059767888
131,São Miguel do Anta,0.021974641349371923
132,São Pedro do Suaçuí,0.027504567067095254
133,São Pedro dos Ferros,2.549650006057522
134,São Sebastião do Maranhão,0.2046719694997542
135,São Sebastião do Paraíso,0.04048494003677147
136,São Sebastião do Rio Verde,0.0185846196602594
137,São Tomás de Aquino,0.03458615662020067
138,Taiobeiras,0.8515668422215285
139,Teixeiras,0.020521090853719243
140,Timóteo,0.03693272205345603
141,Tocantins,0.09299191860879384
142,Três Corações,4.542198643191716
143,Três Pontas,0.1144539927574661
144,Uberaba,1.1141617421597116
145,Urucânia,0.40272750834442994
146,Varginha,0.03204389603897857
147,Vermelho Novo,0.026199769059806147
148,Virginópolis,0.08623067202738825
149,Virgolândia,0.07357895139079136
150,Viçosa,0.020521090853719243
151,Água Boa,0.34188452987449836
152,Águas Formosas,0.26278577788973223
153,Águas Vermelhas,0.9063297093655185
